,planet,inst,calltype,obstype,Rp,Teq
0,WASP-43 b,MIRI,Cy1,transit,0.93,1379.17
1,WASP-39 b,NIRCam,Cy1,transit,1.27,1120.55
2,WASP-18 b,NIRISS,Cy1,transit,1.24,2504.73
3,WASP-39 b,NIRISS,Cy1,transit,1.27,1120.55
4,WASP-39 b,NIRSpec,Cy1,transit,1.27,1120.55
5,WASP-39 b,NIRSpec,Cy1,transit,1.27,1120.55
6,GJ 357 b,NIRSpec,Cy1,transit,0.109,526.78
7,HD 15337 b,NIRSpec,Cy1,transit,0.146,1003.09
8,HD 15337 c,NIRSpec,Cy1,transit,0.213,643.6
9,L 168-9 b,NIRSpec,Cy1,transit,0.124,981.56
10,L 98-59 c,NIRSpec,Cy1,transit,0.124,517.31
11,LTT 1445 A b,NIRSpec,Cy1,transit,0.116,428.58
12,TOI 260.01,NIRSpec,Cy1,transit,0.1500153374357545,498.03
13,TOI 776 b,NIRSpec,Cy1,transit,0.165,514.71
14,TOI 776 c,NIRSpec,Cy1,transit,0.18,415.61
15,TOI 836.01,NIRSpec,Cy1,transit,0.23574285714285717,637.11
16,TOI 836.02,NIRSpec,Cy1,transit,0.15112232142857143,835.11
17,GJ 1214 b,MIRI,Cy1,transit,0.245,588.35
18,LTT 1445 A b,MIRI,Cy1,transit,0.116,428.58
19,55 Cnc e,NIRCam,Cy1,transit,0.167,1945.95
20,LHS 1140 b,NIRSpec,Cy1,transit,0.131011,219.88
21,LHS 1140 b,NIRSpec,Cy1,transit,0.131011,219.88
22,K2-141 b,MIRI,Cy1,transit,0.140049,2023.11
23,HD 189733 b,MIRI,Cy1,transit,1.13,1193.25
24,HD 189733 b,NIRCam,Cy1,transit,1.13,1193.25
25,HD 189733 b,NIRCam,Cy1,transit,1.13,1193.25
26,V1298 Tau b,NIRSpec,Cy1,transit,0.916,686.11
27,V1298 Tau c,NIRSpec,Cy1,transit,0.499,981.41
28,WASP-63 b,NIRISS,Cy1,transit,1.41,1523.45
29,K2-141 b,NIRSpec,Cy1,transit,0.140049,2023.11
30,Kepler-51 b,NIRSpec,Cy1,transit,0.633,561.13
31,TOI 178 b,NIRSpec,Cy1,transit,0.103,1039.2
32,TOI 178 d,NIRSpec,Cy1,transit,0.229,689.62
33,TOI 178 g,NIRSpec,Cy1,transit,0.256,469.91
34,55 Cnc e,MIRI,Cy1,transit,0.167,1945.95
35,55 Cnc e,NIRCam,Cy1,transit,0.167,1945.95
36,K2-18 b,NIRSpec,Cy1,transit,0.216574,282.36
37,K2-18 b,NIRSpec,Cy1,transit,0.216574,282.36
38,HD 80606 b,MIRI,Cy1,transit,1.07,404.75
39,TOI 421.01,NIRISS,Cy1,transit,0.4277644348096652,683.4
40,TOI 421.01,NIRSpec,Cy1,transit,0.4277644348096652,683.4
41,HD 189733 b,MIRI,Cy1,transit,1.13,1193.25
42,LHS 3844 b,MIRI,Cy1,transit,0.116,809.13
43,TRAPPIST-1 c,MIRI,Cy1,transit,0.098,341.0
44,Kepler-51 d,NIRSpec,Cy1,transit,0.865,394.36
45,TRAPPIST-1 b,NIRISS,Cy1,transit,0.1,399.0
46,TRAPPIST-1 c,NIRISS,Cy1,transit,0.098,341.0
47,TRAPPIST-1 g,NIRSpec,Cy1,transit,0.105246,195.08
48,TRAPPIST-1 h,NIRSpec,Cy1,transit,0.070827,169.7
49,WASP-178 b,NIRSpec,Cy1,transit,1.81,2469.17
50,WD 1856+534 b,NIRSpec,Cy1,transit,0.928,159.02
51,K2-18 b,MIRI,Cy1,transit,0.216574,282.36
52,K2-18 b,NIRISS,Cy1,transit,0.216574,282.36
53,K2-18 b,NIRSpec,Cy1,transit,0.216574,282.36
54,HIP 67522 b,NIRSpec,Cy1,transit,0.898,1174.0
55,GJ 486 b,MIRI,Cy1,transit,0.116,702.61
56,WASP-166 b,NIRISS,Cy1,transit,0.63,1272.74
57,WASP-166 b,NIRSpec,Cy1,transit,0.63,1272.74
58,WASP-121 b,NIRSpec,Cy1,transit,1.80692,2354.76
59,HD 189733 b,MIRI,Cy1,transit,1.13,1193.25
60,NGTS-10 b,NIRSpec,Cy1,transit,1.205,1551.93
61,WASP-127 b,NIRSpec,Cy1,transit,1.34777,1355.15
62,TRAPPIST-1 c,NIRSpec,Cy1,transit,0.098,341.0
63,HD 80606 b,NIRSpec,Cy1,transit,1.07,404.75
64,HATS-72 b,NIRISS,Cy1,transit,0.722,738.68
65,HATS-72 b,NIRSpec,Cy1,transit,0.722,738.68
66,TOI 741.01,NIRCam,Cy1,transit,0.07748991071428571,530.76
67,GJ 1132 b,NIRSpec,Cy1,transit,0.107221,583.71
68,GJ 357 b,NIRSpec,Cy1,transit,0.109,526.78
69,TOI 910.01,NIRSpec,Cy1,transit,0.08295956965540321,604.28
70,GJ 486 b,NIRSpec,Cy1,transit,0.116,702.61
71,L 98-59 c,NIRSpec,Cy1,transit,0.124,517.31
72,LHS 1140 c,NIRSpec,Cy1,transit,0.104,399.32
73,LTT 1445 A b,NIRSpec,Cy1,transit,0.116,428.58
74,TRAPPIST-1 h,NIRSpec,Cy1,transit,0.070827,169.7
75,WD 1856+534 b,NIRSpec,Cy1,transit,0.928,159.02
76,HD 209458 b,MIRI,Cy1,transit,1.39,1476.81
77,GJ 367 b,MIRI,Cy1,transit,0.064,1367.01
0,GJ 3090 b,NIRISS/SOSS,Cy2,transit,0.19,695.04
1,GJ 3473 b,MIRI/Imaging,Cy2,transit,0.113,768.21
2,GJ 357 b,MIRI/Imaging,Cy2,transit,0.109,526.78
3,GJ 9827 b,NIRISS/SOSS,Cy2,transit,0.147667,1171.73
4,HAT-P-11 b,MIRI/LRS,Cy2,transit,0.389,829.22
5,HAT-P-11 b,NIRSpec/BOTS,Cy2,transit,0.389,829.22
6,HAT-P-1 b,MIRI/LRS,Cy2,transit,1.319,1322.67
7,HAT-P-30 b,NIRSpec/BOTS,Cy2,transit,1.44,1699.72
8,HAT-P-65 b,NIRSpec/BOTS,Cy2,transit,1.93419,1928.25
9,HATS-6 b,NIRSpec/BOTS,Cy2,transit,0.998,712.27
10,HATS-75 b,NIRSpec/BOTS,Cy2,transit,0.884,769.27
11,HD 106315 b,MIRI/LRS,Cy2,transit,0.218871,1143.46
12,HD 260655 b,MIRI/Imaging,Cy2,transit,0.111,710.28
13,K2-22 b,MIRI/LRS,Cy2,transit,0.205,1501.57
14,K2-22 b,MIRI/LRS,Cy2,transit,0.205,1501.57
15,KELT-7 b,NIRSpec/BOTS,Cy2,transit,1.6,2089.62
16,Kepler-12 b,NIRSpec/BOTS,Cy2,transit,1.754,1483.54
17,Kepler-86 b,NIRSpec/BOTS,Cy2,transit,-1.0,-1.0
18,L 98-59 b,NIRSpec/BOTS,Cy2,transit,0.076,609.35
19,L 98-59 b,MIRI/Imaging,Cy2,transit,0.076,609.35
20,L 98-59 b,NIRISS/SOSS,Cy2,transit,0.076,609.35
21,LHS 1140 b,MIRI/Imaging,Cy2,transit,0.131011,219.88
22,LHS 1478 b,MIRI/Imaging,Cy2,transit,0.111,599.65
23,LHS 3844 b,NIRSpec/BOTS,Cy2,transit,0.116,809.13
24,LTT 3780 b,MIRI/Imaging,Cy2,transit,0.119,887.84
25,LTT 9779 b,NIRSpec/BOTS,Cy2,transit,0.421,1974.28
26,NGTS-2 b,NIRSpec/BOTS,Cy2,transit,1.595,1622.66
27,TOI-1130 b,NIRISS/SOSS,Cy2,transit,-1.0,-1.0
28,TOI-1130 b,NIRISS/SOSS,Cy2,transit,-1.0,-1.0
29,TOI-1231 b,MIRI/LRS,Cy2,transit,-1.0,-1.0
30,TOI-125 b,NIRSpec/BOTS,Cy2,transit,-1.0,-1.0
31,TOI-125 b,NIRSpec/BOTS,Cy2,transit,-1.0,-1.0
32,TOI-1468 b,MIRI/Imaging,Cy2,transit,-1.0,-1.0
33,TOI-1468 b,MIRI/LRS,Cy2,transit,-1.0,-1.0
34,TOI-1685 b,NIRSpec/BOTS,Cy2,transit,-1.0,-1.0
35,TOI-1685 b,NIRISS/SOSS,Cy2,transit,-1.0,-1.0
36,TOI-1685 b,NIRSpec/BOTS,Cy2,transit,-1.0,-1.0
37,TOI-1899 b,NIRSpec/BOTS,Cy2,transit,-1.0,-1.0
38,TOI-2445 b,NIRSpec/BOTS,Cy2,transit,-1.0,-1.0
39,TOI-270 b,MIRI/Imaging,Cy2,transit,-1.0,-1.0
40,TOI-270 b,NIRISS/SOSS,Cy2,transit,-1.0,-1.0
41,TOI-270 b,NIRSpec/BOTS,Cy2,transit,-1.0,-1.0
42,TOI-270 b,"MIRI/LRS
TOI-270 b,NIRISS/SOSS",Cy2,transit,-1.0,-1.0
43,TOI-3235 b,NIRSpec/BOTS,Cy2,transit,-1.0,-1.0
44,TOI-3714 b,NIRSpec/BOTS,Cy2,transit,-1.0,-1.0
45,TOI-3757 b,NIRSpec/BOTS,Cy2,transit,-1.0,-1.0
46,TOI-3984 b,NIRSpec/BOTS,Cy2,transit,-1.0,-1.0
47,TOI-5205 b,NIRSpec/BOTS,Cy2,transit,-1.0,-1.0
48,TOI-5205 b,NIRSpec/BOTS,Cy2,transit,-1.0,-1.0
49,TOI-5293 b,NIRSpec/BOTS,Cy2,transit,-1.0,-1.0
50,TOI-561 b,NIRSpec/BOTS,Cy2,transit,-1.0,-1.0
51,TOI-732 b,MIRI/LRS,Cy2,transit,-1.0,-1.0
52,TOI-824 b,NIRSpec/BOTS,Cy2,transit,-1.0,-1.0
53,TRAPPIST-1 b,MIRI/Imaging,Cy2,transit,0.1,399.0
54,TRAPPIST-1 b,MIRI/Imaging,Cy2,transit,0.1,399.0
55,TrES-4 b,NIRSpec/BOTS,Cy2,transit,1.61,1708.35
56,WASP-121 b,MIRI/LRS,Cy2,transit,1.80692,2354.76
57,WASP-15 b,NIRSpec/BOTS,Cy2,transit,1.41,1626.18
58,WASP-189 b,NIRISS/SOSS,Cy2,transit,1.619,2636.36
59,WASP-47 e,NIRSpec/BOTS,Cy2,transit,0.161,2209.97
60,WASP-52 b,NIRSpec/BOTS,Cy2,transit,1.27,1299.37
61,WASP-69 b,MIRI,Cy2,transit,1.11,988.03
62,WASP-94 A b,NIRSpec/BOTS,Cy2,transit,1.58,1543.36
63,WASP-96 b,NIRSpec/BOTS,Cy2,transit,1.2,1286.14
0,L 98-59 d,NIRSpec,GTO,transit,0.136,409.13
1,WASP-107 b,NIRSpec,GTO,transit,0.967496,736.99
2,WASP-43 b,NIRSpec,GTO,transit,0.93,1379.17
3,WASP-52 b,NIRSpec,GTO,transit,1.27,1299.37
4,GJ 436 b,MIRI,GTO,transit,0.372,687.53
5,HAT-P-26 b,MIRI,GTO,transit,0.63,1043.77
6,TRAPPIST-1 b,MIRI,GTO,transit,0.1,399.0
7,WASP-69 b,MIRI,GTO,transit,1.11,988.03
8,WASP-80 b,MIRI,GTO,transit,0.999,827.36
9,WASP-80 b,MIRI,GTO,transit,0.999,827.36
10,GJ 1214 b,NIRCam,GTO,transit,0.245,588.35
11,GJ 1214 b,NIRCam,GTO,transit,0.245,588.35
12,GJ 3470 b,NIRCam,GTO,transit,0.408,683.29
13,GJ 3470 b,NIRCam,GTO,transit,0.408,683.29
14,GJ 436 b,NIRCam,GTO,transit,0.372,687.53
15,GJ 436 b,NIRCam,GTO,transit,0.372,687.53
16,HD 189733 b,NIRCam,GTO,transit,1.13,1193.25
17,WASP-107 b,NIRCam,GTO,transit,0.967496,736.99
18,WASP-107 b,NIRCam,GTO,transit,0.967496,736.99
19,WASP-69 b,NIRCam,GTO,transit,1.11,988.03
20,WASP-69 b,NIRCam,GTO,transit,1.11,988.03
21,WASP-80 b,NIRCam,GTO,transit,0.999,827.36
22,WASP-80 b,NIRCam,GTO,transit,0.999,827.36
23,WASP-80 b,NIRCam,GTO,transit,0.999,827.36
24,WASP-80 b,NIRCam,GTO,transit,0.999,827.36
25,GJ 357 b,NIRISS,GTO,transit,0.109,526.78
26,HAT-P-1 b,NIRISS,GTO,transit,1.319,1322.67
27,HAT-P-1 b,NIRISS,GTO,transit,1.319,1322.67
28,L 98-59 c,NIRISS,GTO,transit,0.124,517.31
29,L 98-59 d,NIRISS,GTO,transit,0.136,409.13
30,LTT 9779 b,NIRISS,GTO,transit,0.421,1974.28
31,TRAPPIST-1 f,NIRISS,GTO,transit,0.095875,215.18
32,WASP-107 b,NIRISS,GTO,transit,0.967496,736.99
33,WASP-121 b,NIRISS,GTO,transit,1.80692,2354.76
34,WASP-127 b,NIRISS,GTO,transit,1.34777,1355.15
35,WASP-52 b,NIRISS,GTO,transit,1.27,1299.37
36,WASP-80 b,NIRISS,GTO,transit,0.999,827.36
37,GJ 3470 b,NIRSpec,GTO,transit,0.408,683.29
38,LP 791-18 c,NIRSpec,GTO,transit,0.206,343.27
39,TRAPPIST-1 d,NIRSpec,GTO,transit,0.07,287.22
40,WASP-107 b,NIRSpec,GTO,transit,0.967496,736.99
41,HAT-P-12 b,MIRI,GTO,transit,0.959,957.35
42,TRAPPIST-1 b,MIRI,GTO,transit,0.1,399.0
43,WASP-107 b,MIRI,GTO,transit,0.967496,736.99
44,HAT-P-12 b,NIRISS,GTO,transit,0.959,957.35
45,HAT-P-12 b,NIRSpec,GTO,transit,0.959,957.35
46,HAT-P-26 b,MIRI,GTO,transit,0.63,1043.77
47,WASP-17 b,MIRI,GTO,transit,1.87,1698.89
48,WASP-17 b,MIRI,GTO,transit,1.87,1698.89
49,HAT-P-26 b,NIRISS,GTO,transit,0.63,1043.77
50,WASP-17 b,NIRISS,GTO,transit,1.87,1698.89
51,WASP-17 b,NIRISS,GTO,transit,1.87,1698.89
52,HAT-P-26 b,NIRSpec,GTO,transit,0.63,1043.77
53,HAT-P-26 b,NIRSpec,GTO,transit,0.63,1043.77
54,TRAPPIST-1 e,NIRSpec,GTO,transit,0.0834395,246.83
55,WASP-17 b,NIRSpec,GTO,transit,1.87,1698.89
56,WASP-17 b,NIRSpec,GTO,transit,1.87,1698.89
57,GJ 1132 b,MIRI,GTO,transit,0.107221,583.71
58,HD 149026 b,NIRCam,GTO,transit,0.74,1693.63
59,HD 149026 b,NIRCam,GTO,transit,0.74,1693.63
60,HD 189733 b,NIRCam,GTO,transit,1.13,1193.25
61,HD 209458 b,NIRCam,GTO,transit,1.39,1476.81
62,HD 209458 b,NIRCam,GTO,transit,1.39,1476.81
63,WASP-77 A b,NIRCam,GTO,transit,1.23,1690.89
64,WASP-77 A b,NIRCam,GTO,transit,1.23,1690.89
