,planet,inst,calltype,obstype,Rp,Tp,Mp,Teff,Kmag,orbital_period,Rs,a/Rs,catalog_name,planet_name
0,WASP-43 b,MIRI,GO,transit,0.93,1379.17,1.78,4400.0,9.267,0.813475,0.6,5.089094350869629,nexsci,WASP-43 b
2,WASP-39 b,NIRCam,GO,transit,1.27,1120.55,0.28,5400.0,10.202,4.055259,0.9,11.611736406209571,nexsci,WASP-39 b
6,WASP-18 b,NIRISS,GO,transit,1.24,2504.73,10.2,6432.0,8.131,0.94145223,1.32,3.297159720281731,nexsci,WASP-18 b
7,WASP-39 b,NIRISS,GO,transit,1.27,1120.55,0.28,5400.0,10.202,4.055259,0.9,11.611736406209571,nexsci,WASP-39 b
11,WASP-39 b,NIRSpec,GO,transit,1.27,1120.55,0.28,5400.0,10.202,4.055259,0.9,11.611736406209571,nexsci,WASP-39 b
19,GJ 357 b,NIRSpec,GO,transit,0.109,526.78,0.00579,3505.0,6.475,3.93072,0.34,22.135663083732844,nexsci,GJ 357 b
22,HD 15337 b,NIRSpec,GO,transit,0.146,1003.09,0.02363,5125.0,7.044,4.75615,0.86,13.051951774421614,nexsci,HD 15337 b
23,HD 15337 c,NIRSpec,GO,transit,0.213,643.6,0.02552,5125.0,7.044,17.1784,0.86,31.704741091890046,nexsci,HD 15337 c
24,L 168-9 b,NIRSpec,GO,transit,0.124,981.56,0.01447,3800.0,7.082,1.4015,0.6,7.493870625118586,nexsci,L 168-9 b
25,L 98-59 c,NIRSpec,GO,transit,0.124,517.31,0.00698,3415.0,7.101,3.6906777,0.3,21.78992510794883,nexsci,L 98-59 c
28,LTT 1445 A b,NIRSpec,GO,transit,0.116,428.58,0.00903,3340.0,6.496,5.3587657,0.27,30.367318873029557,nexsci,LTT 1445 A b
31,TOI 260.01,NIRSpec,GO,transit,0.146239375,498.1,,4049.0,6.548999786376953,13.470018,0.6181730031967163,33.03915003119856,toi,TOI 260.01
32,TOI 776 b,NIRSpec,GO,transit,,,,,,,,,,
33,TOI 776 c,NIRSpec,GO,transit,,,,,,,,,,
34,TOI 836.01,NIRSpec,GO,transit,0.23574285714285717,637.11,,4250.0,6.803999900817871,8.5954792,0.6910279989242554,22.249094314338034,toi,TOI 836.01
35,TOI 836.02,NIRSpec,GO,transit,0.15112232142857143,835.11,,4250.0,6.803999900817871,3.8167262,0.6910279989242554,12.949697153417869,toi,TOI 836.02
36,GJ 1214 b,MIRI,GO,transit,0.245,588.35,0.02571,3250.0,8.782,1.58040433,0.21,15.257043426148382,nexsci,GJ 1214 b
39,LTT 1445 A b,MIRI,GO,transit,0.116,428.58,0.00903,3340.0,6.496,5.3587657,0.27,30.367318873029557,nexsci,LTT 1445 A b
42,55 Cnc e,NIRCam,GO,transit,0.167,1945.95,0.02514,5172.0,4.015,0.7365474,0.94,3.532017535694953,nexsci,55 Cnc e
45,LHS 1140 b,NIRSpec,GO,transit,0.131011,219.88,0.0212289,3131.0,8.821,24.73712,0.186,101.379,exoplanets.org,LHS 1140 b
49,K2-141 b,MIRI,GO,transit,0.140049,2023.11,0.0164862,4373.0,8.401,0.2803226,0.674,2.33609,exoplanets.org,K2-141 b
51,HD 189733 b,MIRI,GO,transit,1.13,1193.25,1.13,5052.0,5.541,2.21857567,0.75,8.962540248348427,nexsci,HD 189733 b
58,HD 189733 b,NIRCam,GO,transit,1.13,1193.25,1.13,5052.0,5.541,2.21857567,0.75,8.962540248348427,nexsci,HD 189733 b
72,V1298 Tau b,NIRSpec,GO,transit,0.916,675.24,0.236,4970.0,8.094,24.1396,1.34,27.087632744170477,nexsci,V1298 Tau b
73,V1298 Tau c,NIRSpec,GO,transit,0.499,964.36,0.0839,4962.28,8.094,8.24958,1.34,13.238920031955358,nexsci,V1298 Tau c
74,WASP-63 b,NIRISS,GO,transit,1.41,1523.45,0.37,5550.0,9.393,4.37808,1.86,6.635938567467438,nexsci,WASP-63 b
75,K2-141 b,NIRSpec,GO,transit,0.140049,2023.11,0.0164862,4373.0,8.401,0.2803226,0.674,2.33609,exoplanets.org,K2-141 b
77,Kepler-51 b,NIRSpec,GO,transit,0.633,561.13,0.007,6018.0,13.197,45.154,0.94,57.50966376125073,nexsci,Kepler-51 b
78,TOI 178 b,NIRSpec,GO,transit,,,,,,,,,,
79,TOI 178 d,NIRSpec,GO,transit,,,,,,,,,,
80,TOI 178 g,NIRSpec,GO,transit,,,,,,,,,,
81,55 Cnc e,MIRI,GO,transit,0.167,1945.95,0.02514,5172.0,4.015,0.7365474,0.94,3.532017535694953,nexsci,55 Cnc e
87,K2-18 b,NIRSpec,GO,transit,0.216574,282.36,0.025337,3457.0,8.899,32.939614,0.411,74.9492,exoplanets.org,K2-18 b
97,HD 80606 b,MIRI,GO,transit,1.07,404.75,4.38,5561.0,7.316,111.4367,1.04,94.38671063808172,nexsci,HD 80606 b
99,TOI 421 b,NIRISS,GO,transit,,,,,,,,,,
100,TOI 421 b,NIRSpec,GO,transit,,,,,,,,,,
108,LHS 3844 b,MIRI,GO,transit,0.116,809.13,0.00708,3036.0,9.145001,0.46292913,0.19,7.039473727741085,nexsci,LHS 3844 b
109,TRAPPIST-1 c,MIRI,GO,transit,0.098,341.0,0.00412,2566.0,10.296,2.421937,0.12,28.312567163288776,nexsci,TRAPPIST-1 c
112,Kepler-51 d,NIRSpec,GO,transit,0.865,394.36,0.024,6018.0,13.197,130.194,0.94,116.43762471947741,nexsci,Kepler-51 d
113,TRAPPIST-1 b,NIRISS,GO,transit,0.1,399.0,0.00432,2566.0,10.296,1.510826,0.12,20.67892563698433,nexsci,TRAPPIST-1 b
116,TRAPPIST-1 c,NIRISS,GO,transit,0.098,341.0,0.00412,2566.0,10.296,2.421937,0.12,28.312567163288776,nexsci,TRAPPIST-1 c
119,TRAPPIST-1 g,NIRSpec,GO,transit,0.105246,195.08,0.003612,2516.0,10.29,12.354473,0.121,83.1731,exoplanets.org,TRAPPIST-1 g
120,TRAPPIST-1 h,NIRSpec,GO,transit,0.070827,169.7,0.00104144,2516.0,10.29,18.767953,0.121,109.912,exoplanets.org,TRAPPIST-1 h
122,WASP-178 b,NIRSpec,GO,transit,1.81,2469.17,1.66,9360.0,9.703,3.3448285,1.67,7.184906758333269,nexsci,WASP-178 b
123,WD 1856+534 b,NIRSpec,GO,transit,0.928,159.02,13.8,4710.0,15.548,1.4079405,0.01,438.66559756791725,nexsci,WD 1856+534 b
125,K2-18 b,MIRI,GO,transit,0.216574,282.36,0.025337,3457.0,8.899,32.939614,0.411,74.9492,exoplanets.org,K2-18 b
130,K2-18 b,NIRISS,GO,transit,0.216574,282.36,0.025337,3457.0,8.899,32.939614,0.411,74.9492,exoplanets.org,K2-18 b
140,HIP 67522 b,NIRSpec,GO,transit,0.898,1174.0,0.228,5675.0,8.164,6.959503,1.38,,nexsci,HIP 67522 b
141,GJ 486 b,MIRI,GO,transit,0.116,702.61,0.00887,3340.0,6.362,1.467119,0.33,11.298962361597868,nexsci,GJ 486 b
143,WASP-166 b,NIRISS,GO,transit,0.63,1272.74,0.101,6050.0,8.032,5.44354,1.22,11.298000965968939,nexsci,WASP-166 b
145,WASP-166 b,NIRSpec,GO,transit,0.63,1272.74,0.101,6050.0,8.032,5.44354,1.22,11.298000965968939,nexsci,WASP-166 b
147,WASP-121 b,NIRSpec,GO,transit,1.80692,2354.76,1.18367,6460.0,9.374,1.2749255,1.458,3.76306,exoplanets.org,WASP-121 b
156,NGTS-10 b,NIRSpec,GO,transit,1.205,1551.93,2.162,4600.0,11.728,0.7668944,0.7,4.392799751555474,nexsci,NGTS-10 b
157,WASP-127 b,NIRSpec,GO,transit,1.34777,1355.15,0.204061,5750.0,8.641,4.178062,1.33,9.00186,exoplanets.org,WASP-127 b
159,TRAPPIST-1 c,NIRSpec,GO,transit,0.098,341.0,0.00412,2566.0,10.296,2.421937,0.12,28.312567163288776,nexsci,TRAPPIST-1 c
162,HD 80606 b,NIRSpec,GO,transit,1.07,404.75,4.38,5561.0,7.316,111.4367,1.04,94.38671063808172,nexsci,HD 80606 b
164,HATS-72 b,NIRISS,GO,transit,0.722,738.68,0.1254,4656.1,9.764,7.3279474,0.72,19.865685970469194,nexsci,HATS-72 b
166,HATS-72 b,NIRSpec,GO,transit,0.722,738.68,0.1254,4656.1,9.764,7.3279474,0.72,19.865685970469194,nexsci,HATS-72 b
168,TOI 741.01,NIRCam,GO,transit,0.08674664471161322,530.76,,3745.0,5.586999893188477,7.57687074985214,0.5252760052680969,24.892789647738038,toi,TOI 741.01
169,GJ 1132 b,NIRSpec,GO,transit,0.107221,583.71,0.0052796,3270.0,8.322,1.628931,0.2105,15.6916,exoplanets.org,GJ 1132 b
174,TOI 910.01,NIRSpec,GO,transit,0.08295956965540321,604.28,,3312.0,7.685999870300293,2.0290881904027,0.28749701380729675,15.020274208285317,toi,TOI 910.01
175,GJ 486 b,NIRSpec,GO,transit,0.116,702.61,0.00887,3340.0,6.362,1.467119,0.33,11.298962361597868,nexsci,GJ 486 b
180,LHS 1140 c,NIRSpec,GO,transit,0.104,399.32,0.00554,2988.0,8.821,3.77792,0.21,27.995138743013204,nexsci,LHS 1140 c
188,HD 209458 b,MIRI,GO,transit,1.39,1476.81,0.73,6091.0,6.308,3.52474859,1.19,8.505515602867796,nexsci,HD 209458 b
191,GJ 367 b,MIRI,GO,transit,0.064,1367.01,0.00172,3522.0,5.78,0.321962,0.46,3.3189745766541052,nexsci,GJ 367 b
192,HIP 65426 b,NIRISS,GO,direct,1.5,,,8840.0,6.771,,1.77,,exoplanets.org,HIP 65426 b
195,HIP 65426 b,MIRI,GO,direct,1.5,,,8840.0,6.771,,1.77,,exoplanets.org,HIP 65426 b
198,HIP 65426 b,NIRCam,GO,direct,1.5,,,8840.0,6.771,,1.77,,exoplanets.org,HIP 65426 b
201,VHS J1256-1257 b,MIRI,GO,direct,,,,,,,,,not found,VHS J1256-1257 b
203,VHS J1256-1257 b,NIRSpec,GO,direct,,,,,,,,,not found,VHS J1256-1257 b
205,alpha Cen A,MIRI,GO,direct,,,,,,,,,not found,alpha Cen A
